PDB codes,0,1,2,3,4,5,6,7,8,9,Output
"1u63 , 1zzi",-3.8055073859267656,3.3956488312875406,-5.552265975466541,5.360509925418887,0.009348092671948015,-0.6038573262961191,1.3686963658968305,-0.10907353556967016,-0.3173059951816101,0.02362749382272478,1
"5ytt , 5ytx",-0.33407781774736756,-2.7872446898651053,-0.0257363400287659,-0.4812304692297143,2.1749389817873475,2.205014187893359,-1.0566185076262458,-0.35120617778535657,-0.5451024387437361,-0.37882729060532505,0
"5wzj , 3moj",-0.9865327526096456,1.1563686341754713,2.4598273759483367,-0.21867895793967332,-0.6887308601308691,-0.13294524874256614,0.918349491459585,-0.21400912765186064,0.06008095804451292,0.4597368476344085,0
"1zzi , 4hj8",-0.09654808194102084,-1.088806337671011,-0.0665684012727463,-0.4820103739775893,-0.767857424065608,0.24694590535913072,-0.5599294337141405,-0.027702988449120176,-0.023879908927755114,0.37316554265276486,0
"2kx5 , 2err",-0.687517058718566,-1.2166228174301676,-0.6398819474077606,0.3893501899707257,-0.6339448918520583,-0.3278367213417357,0.42486399711040407,0.48296110014273397,0.41408428131477787,0.12496308273190446,1
"4hj8 , 2b6g",-1.1516799940254092,-2.031157717862778,0.706298009835775,0.1910437333995506,-1.4787293092973626,-0.5290417092752323,-0.15558893116464928,-0.9561376738760393,0.3909378714728201,0.09985882476188462,1
"3rn2 , 6eo7",-1.8839063560977405,-1.6225783409036454,-2.150829647527274,2.7151168504575467,-0.2686347154150433,-0.11455227263581921,-1.680909351116416,2.2557782756175957,0.3886918649556163,-0.553257640969123,0
"1wwg , 1rkj",0.4063658563565798,-1.2392981094935895,-0.48254541568456255,-0.41987936897943573,0.14266953474428892,-1.877221800774527,0.26476156303758985,-0.3346470758695601,0.5964394461947747,0.15238160552064708,1
"2kkf , 2lec",-0.4090743674017607,-1.0472341114401096,-1.1072737672003703,0.37333673678257406,0.5306544350659852,-1.797641466691946,0.7358750052091486,-0.5740052183613803,-0.12316933153947482,-0.4190720750013315,0
"6eo6 , 4him",0.9640416552924207,-2.7107080967656434,-0.7072992062655847,0.09439207717637486,-1.0235779376918068,-1.161432720910439,-1.3262920216537568,-0.20230232858804156,-0.46177321087345535,-0.1856991021072892,1
"1u6p , 1zzi",-2.078090579029652,1.2739807068223588,-0.4928529036443887,0.126830260762376,0.07454810781355867,-0.14776514210255723,-0.10552275415033906,0.644526733416899,2.86093145328848,-0.10849861707798766,1
"2mkk , 4hj8",0.06860575002587571,-1.2771627131831298,-0.05512460330064903,-0.4852921256953853,-0.836227195499003,-0.17771858214128608,0.3244787038432641,-0.4309297951261661,-0.06818312470101881,0.3642318151574194,0
"5ytx , 4hj5",0.14251670459156618,-2.6486994556436185,0.14092122551175648,-0.23230829704376385,-1.0681434078864527,2.009203764128015,0.694166554938767,-0.1788492777782131,-0.4011365932099645,-0.30946819894346966,0
"2kx5 , 1wwe",-0.45995429804009536,-1.024863495729274,-0.6391594365222864,0.37190475686433594,0.6359483060042131,-0.594618231228689,0.31970777453996746,0.3181982936037375,0.39686463010426437,0.13248117298266945,1
"2gkd , 2kkf",1.2156845682159603,-2.190087664125318,0.30480572312227583,1.2166699429707062,-1.700672281556171,-0.24117474499924196,-1.3836855675186237,-0.3786970253172302,0.15502543427389875,-0.11808665014750303,1
"2lec , 1jbr",0.9246326307174777,-0.5929454671747586,1.0385799253349024,0.24550154041452923,1.165803337094495,0.6546198335699791,-0.14598194400155262,-0.7667943115214821,-0.4109356560373064,0.44708209668888255,1
"5z6z , 1exd",0.011163767308382144,3.874568426502927,-2.4635746912541188,-1.5100764315599762,-0.06524517125027378,0.6877349704260273,0.2745624924764562,-0.5415180500166799,0.20142710100491493,0.35292652294051413,0
"4hid , 1jbr",1.01117279096131,-0.6856892382893064,0.8852136614221001,0.3934097587217742,1.03141057396157,0.04957768096140251,-0.6400501341966128,-0.5200640538571446,-0.36142909863085204,0.44500929557102137,1
