Ro,Theta,Phi,3,4,5,6,7,8
3.7308206293254034,0.9412597887984933,0.883270379117582,8.863,-1.252,-10.02,-424.4,36.55,1.0
4.024315341645085,0.7670056193792274,1.2937794104700948,8.638,-0.893,-9.16,-424.05,41.32,1.0
5.433323964793559,0.014757612188027404,0.1866646182305549,1.389,1.59,0.77,-423.54,2.53,1.0
3.998647301638393,0.7962552870994621,0.8731349460124765,6.646,-4.968,-11.078,-423.5,37.71,1.0
3.841033161702721,0.8257104327015958,0.8889450135806294,8.345,-4.194,-11.929,-422.56,38.52,1.0
3.4055230923457263,0.5276686247289034,1.4337810807168307,4.644,1.203,-10.483,-421.38,41.02,1.0
3.8578745848070284,0.7515577590382172,1.3412192489796955,10.577,0.646,-9.918,-421.28,41.08,1.0
5.9309913358055075,1.546277331975915,0.5926591393332156,4.71,-1.33,-7.12,-421.26,41.36,1.0
5.438466231484756,0.679747632488612,0.6081931709789016,-6.489,3.61,-11.357,-419.32,29.25,1.0
5.167476536937541,0.646637780527006,0.6183487323293074,-8.158,-0.984,-10.679,-417.69,28.66,1.0
4.512734127931758,0.030034445684090385,0.8162999545147641,0.959,1.452,0.075,-417.57,3.1,1.0
3.340384687816659,1.1699530552329536,0.8611616335242299,8.029,2.567,-3.333,-417.4,30.63,1.0
3.018971344117065,1.4664098427079246,0.32340948402066694,8.676,1.156,-1.748,-417.3,33.85,1.0
6.459447426065175,0.2652210731735336,1.3483800931847774,8.585,-0.032,10.299,-416.63,23.76,1.0
7.170110675059346,0.42954603850968043,0.5021004069103269,5.968,5.017,-8.706,-416.17,40.57,1.0
6.457164619444048,0.2664894819583994,1.3563193162183795,8.419,0.378,10.229,-416.1,23.77,1.0
5.288948034704066,1.095952738486811,0.6489544924465146,6.198,3.266,-10.389,-415.89,27.08,1.0
5.50869479696416,0.6268779010162822,0.6015998336248752,-8.443,5.175,-10.33,-415.27,30.32,1.0
0.16904188741255818,0.8595133536944656,1.5852902834120357,1.726,3.028,0.913,-415.11,4.68,1.0
7.057425354242155,0.46707632200603905,0.507369701303279,4.522,4.295,-9.669,-415.06,40.12,1.0
3.0612321533657,1.4998449814142742,0.31221341058530316,8.61,1.678,-1.762,-414.58,33.97,1.0
3.513079440049712,1.070423226214174,0.8914769836609062,4.835,1.856,-4.052,-414.53,33.31,1.0
3.9178409956250144,0.8243277155107263,0.861479725556176,7.663,-4.483,-10.88,-413.71,37.11,1.0
3.8155481143080867,0.9233062273174015,0.8680461827506085,9.04,-2.291,-10.922,-413.71,36.52,1.0
7.438356236447674,0.45829809496202867,1.1932544784051256,8.173,4.249,-6.26,-413.66,26.32,1.0
5.285419835821938,1.0938947467740097,0.6470734872609377,6.119,3.187,-10.397,-413.53,27.04,1.0
4.007977369534413,0.8084467936472935,0.8586179398816638,6.479,-4.556,-10.417,-412.91,36.8,1.0
6.5065493325878965,0.25510453311097175,1.3428947183048134,7.919,0.297,10.253,-412.23,24.16,1.0
6.474913988355366,0.2552341556791843,1.3423417693003086,7.865,0.048,10.38,-411.15,23.83,1.0
5.459728910587045,1.0249920623676336,0.6425154084693914,5.304,3.75,-10.721,-410.85,27.2,1.0
4.648621356380835,-0.006509706969258447,1.1466870861248444,2.051,0.072,-0.066,-410.42,3.11,1.0
7.048047724199943,0.4474341416479786,0.49235059929224834,3.758,5.079,-8.939,-409.86,40.74,1.0
7.03300060780603,0.1506004296325929,1.1631283852239311,8.494,1.862,-1.805,-409.83,33.49,1.0
3.496347961716625,0.5407770148924944,1.4677495786258978,4.64,-0.1,-10.108,-409.75,40.2,1.0
6.464724788836722,0.24567688757770303,1.3336239615046581,7.099,-0.319,10.544,-409.33,23.8,1.0
3.001919309258662,1.5125494047273598,0.3137870565382572,8.613,1.595,-1.438,-408.81,33.96,1.0
7.266959387481122,0.11166022240125391,0.767539305675635,1.93,2.757,15.024,-408.12,40.24,1.0
5.4004019721683685,0.9757508838216413,0.6337849045351313,3.339,2.823,-12.142,-407.53,27.43,1.0
5.259327575603177,1.0132928578041467,0.6372358441436212,3.618,2.343,-11.389,-406.74,26.84,1.0
7.200332667724457,0.4506770934011901,0.5429366208997236,7.659,3.262,-8.541,-406.64,38.92,1.0
4.683412175679182,4.950678861798484e-06,1.0403609714956488,1.318,2.132,0.94,-406.16,3.42,1.0
4.726145599375881,0.07169151598550272,0.40423233918823015,1.599,-0.078,-1.198,-406.09,2.09,1.0
6.421899363350379,0.28576786757171274,1.3713499199176842,9.655,0.761,9.845,-405.8,23.85,1.0
3.7499952968637174,0.9385336401782141,0.9022225590527826,8.109,-0.8,-10.056,-405.7,37.15,1.0
